"f_9","Points:0","Points:1","Points:2"
300,0,0,0
300,0.03125,0,0
300,0.0625,0,0
300,0.09375,0,0
300,0.125,0,0
300,0.15625,0,0
300,0.1875,0,0
300,0.21875,0,0
300,0.25,0,0
300,0.28125,0,0
300,0.3125,0,0
300,0.34375,0,0
300,0.375,0,0
300,0.40625,0,0
300,0.4375,0,0
300,0.46875,0,0
300,0.5,0,0
300,0.53125,0,0
300,0.5625,0,0
300,0.59375,0,0
300,0.625,0,0
300,0.65625,0,0
300,0.6875,0,0
300,0.71875,0,0
300,0.75,0,0
300,0.78125,0,0
300,0.8125,0,0
300,0.84375,0,0
300,0.875,0,0
300,0.90625,0,0
300,0.9375,0,0
300,0.96875,0,0
300,1,0,0
300.01,0,0.03125,0
300.01,0.03125,0.03125,0
300.01,0.0625,0.03125,0
300.01,0.09375,0.03125,0
300.01,0.125,0.03125,0
300.01,0.15625,0.03125,0
300.01,0.1875,0.03125,0
300.01,0.21875,0.03125,0
300.01,0.25,0.03125,0
300.01,0.28125,0.03125,0
300.01,0.3125,0.03125,0
300.01,0.34375,0.03125,0
300.01,0.375,0.03125,0
300.01,0.40625,0.03125,0
300.01,0.4375,0.03125,0
300.01,0.46875,0.03125,0
300.01,0.5,0.03125,0
300.01,0.53125,0.03125,0
300.01,0.5625,0.03125,0
300.01,0.59375,0.03125,0
300.01,0.625,0.03125,0
300.01,0.65625,0.03125,0
300.01,0.6875,0.03125,0
300.01,0.71875,0.03125,0
300.01,0.75,0.03125,0
300.01,0.78125,0.03125,0
300.01,0.8125,0.03125,0
300.01,0.84375,0.03125,0
300.01,0.875,0.03125,0
300.01,0.90625,0.03125,0
300.01,0.9375,0.03125,0
300.01,0.96875,0.03125,0
300.01,1,0.03125,0
300.03,0,0.0625,0
300.03,0.03125,0.0625,0
300.03,0.0625,0.0625,0
300.03,0.09375,0.0625,0
300.03,0.125,0.0625,0
300.03,0.15625,0.0625,0
300.02,0.1875,0.0625,0
300.02,0.21875,0.0625,0
300.02,0.25,0.0625,0
300.02,0.28125,0.0625,0
300.02,0.3125,0.0625,0
300.02,0.34375,0.0625,0
300.02,0.375,0.0625,0
300.02,0.40625,0.0625,0
300.02,0.4375,0.0625,0
300.02,0.46875,0.0625,0
300.02,0.5,0.0625,0
300.02,0.53125,0.0625,0
300.02,0.5625,0.0625,0
300.02,0.59375,0.0625,0
300.02,0.625,0.0625,0
300.02,0.65625,0.0625,0
300.02,0.6875,0.0625,0
